model,baseline,feature_set,loss,block_length,bootstrap_repetitions,mean_difference,ci_lower,ci_upper,bootstrap_p_value
RF,F0,F1,squared,24,2000,27082.678786,22331.418284,31721.374271,0.000000
RF,F0,F2,squared,24,2000,41709.274301,36267.750949,47138.678245,0.000000
RF,F0,F3,squared,24,2000,39387.136072,34026.574104,45159.169594,0.000000
RF,F0,F4,squared,24,2000,35023.248983,28748.195106,41551.163878,0.000000
XGB,F0,F1,squared,24,2000,52382.080064,37387.493571,64706.765245,0.000000
XGB,F0,F2,squared,24,2000,45940.629841,28078.501905,61207.500693,0.000000
XGB,F0,F3,squared,24,2000,27961.513788,972.125681,50000.789468,0.045000
XGB,F0,F4,squared,24,2000,7741.825982,-28530.077230,37897.748361,0.650000
LGBM,F0,F1,squared,24,2000,59852.875026,52657.416816,66680.144601,0.000000
LGBM,F0,F2,squared,24,2000,52563.070201,41826.412712,62148.707837,0.000000
LGBM,F0,F3,squared,24,2000,33551.995881,10220.229804,53751.097904,0.006000
LGBM,F0,F4,squared,24,2000,3591.011371,-37115.418211,38097.096597,0.855000
LSTM,F0,F1,squared,24,2000,8414000.100710,7747431.649951,9247267.939049,0.000000
LSTM,F0,F2,squared,24,2000,8479620.017923,7786198.700336,9255051.095850,0.000000
LSTM,F0,F3,squared,24,2000,8467633.943107,7748119.379201,9238831.534908,0.000000
LSTM,F0,F4,squared,24,2000,8434656.372716,7698547.693834,9223043.471360,0.000000
