model,baseline,feature_set,rmse_baseline,rmse,mae_baseline,mae,mape,r2,delta_rmse,rmse_improvement_percent,delta_mae,mae_improvement_percent,combined_dm_z,raw_p_value,n_seeds_tested,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value,adjusted_p_value,better_than_baseline,significant_after_correction,bootstrap_ci_excludes_zero,significant_improvement
RF,F0,F1,503.535887,475.884141,346.306693,321.196545,1.011333,0.994893,27.651746,5.491514,25.110147,7.250841,10.740903,0.000000,3,22331.418284,31721.374271,0.000000,0.000000,True,True,True,True
RF,F0,F2,503.535887,460.259806,346.306693,310.448531,0.975540,0.995223,43.276081,8.594438,35.858162,10.354453,14.972870,0.000000,3,36267.750949,47138.678245,0.000000,0.000000,True,True,True,True
RF,F0,F3,503.535887,462.775181,346.306693,312.344709,0.982102,0.995170,40.760706,8.094896,33.961983,9.806909,13.695397,0.000000,3,34026.574104,45159.169594,0.000000,0.000000,True,True,True,True
RF,F0,F4,503.535887,467.464798,346.306693,314.725192,0.989096,0.995072,36.071089,7.163559,31.581500,9.119518,10.474919,0.000000,3,28748.195106,41551.163878,0.000000,0.000000,True,True,True,True
XGB,F0,F1,513.466500,459.716804,346.219303,293.075720,0.908355,0.995233,53.749696,10.468004,53.143583,15.349688,7.888079,0.000000,3,37387.493571,64706.765245,0.000000,0.000000,True,True,True,True
XGB,F0,F2,513.466500,466.585916,346.219303,295.128263,0.913373,0.995088,46.880584,9.130213,51.091040,14.756843,5.938297,0.000000,3,28078.501905,61207.500693,0.000000,0.000000,True,True,True,True
XGB,F0,F3,513.466500,485.358650,346.219303,299.813922,0.922800,0.994682,28.107850,5.474135,46.405381,13.403464,2.730648,0.006321,3,972.125681,50000.789468,0.045000,0.018963,True,True,True,True
XGB,F0,F4,513.466500,505.952732,346.219303,308.786877,0.946668,0.994227,7.513768,1.463341,37.432426,10.811767,0.448045,0.654120,3,-28530.077230,37897.748361,0.650000,1.000000,True,False,False,False
LGBM,F0,F1,523.747124,463.096291,339.520157,288.698241,0.893729,0.995164,60.650833,11.580175,50.821916,14.968748,16.188516,0.000000,3,52657.416816,66680.144601,0.000000,0.000000,True,True,True,True
LGBM,F0,F2,523.747124,470.901242,339.520157,289.165217,0.889945,0.994999,52.845882,10.089961,50.354940,14.831208,10.034630,0.000000,3,41826.412712,62148.707837,0.000000,0.000000,True,True,True,True
LGBM,F0,F3,523.747124,490.672043,339.520157,288.923411,0.885116,0.994571,33.075081,6.315086,50.596746,14.902428,2.949804,0.003180,3,10220.229804,53751.097904,0.006000,0.012719,True,True,True,True
LGBM,F0,F4,523.747124,520.307638,339.520157,296.810280,0.902958,0.993895,3.439486,0.656707,42.709877,12.579482,0.174325,0.861610,3,-37115.418211,38097.096597,0.855000,1.000000,True,False,False,False
LSTM,F0,F1,2931.793125,425.613657,2249.941409,318.095811,1.062706,0.995888,2506.179467,85.482821,1931.845598,85.862040,21.622278,0.000000,3,7747431.649951,9247267.939049,0.000000,0.000000,True,True,True,True
LSTM,F0,F2,2931.793125,341.555811,2249.941409,254.042396,0.834641,0.997368,2590.237314,88.349935,1995.899013,88.708933,21.858066,0.000000,3,7786198.700336,9255051.095850,0.000000,0.000000,True,True,True,True
LSTM,F0,F3,2931.793125,357.638887,2249.941409,262.510599,0.847055,0.997097,2574.154238,87.801360,1987.430810,88.332558,21.868010,0.000000,3,7748119.379201,9238831.534908,0.000000,0.000000,True,True,True,True
LSTM,F0,F4,2931.793125,398.823615,2249.941409,291.824545,0.943434,0.996353,2532.969510,86.396598,1958.116864,87.029682,21.819353,0.000000,3,7698547.693834,9223043.471360,0.000000,0.000000,True,True,True,True
