model,baseline,feature_set,mean_delta_rmse,ci_lower,ci_upper,n_seeds
RF,F0,F1,27.651746,27.588091,27.713086,3
RF,F0,F2,43.276081,43.194187,43.402979,3
RF,F0,F3,40.760706,40.096452,41.295433,3
RF,F0,F4,36.071089,34.599264,37.719918,3
XGB,F0,F1,53.749696,32.698525,75.670607,3
XGB,F0,F2,46.880584,44.164325,51.225211,3
XGB,F0,F3,28.107850,9.037832,47.988275,3
XGB,F0,F4,7.513768,-1.645565,22.962599,3
LGBM,F0,F1,60.650833,60.650833,60.650833,3
LGBM,F0,F2,52.845882,52.845882,52.845882,3
LGBM,F0,F3,33.075081,33.075081,33.075081,3
LGBM,F0,F4,3.439486,3.439486,3.439486,3
LSTM,F0,F1,2506.179467,2417.443213,2562.275540,3
LSTM,F0,F2,2590.237314,2550.864640,2615.775411,3
LSTM,F0,F3,2574.154238,2537.019047,2623.534735,3
LSTM,F0,F4,2532.969510,2426.865002,2613.475173,3
