model,from_feature_set,to_feature_set,rmse_from,rmse_to,delta_rmse,improvement_percent
RF,F0,F1,503.535887,475.884141,27.651746,5.491514
RF,F1,F2,475.884141,460.259806,15.624335,3.283223
RF,F2,F3,460.259806,462.775181,-2.515376,-0.546512
RF,F3,F4,462.775181,467.464798,-4.689617,-1.013368
XGB,F0,F1,513.466500,459.716804,53.749696,10.468004
XGB,F1,F2,459.716804,466.585916,-6.869112,-1.494205
XGB,F2,F3,466.585916,485.358650,-18.772734,-4.023425
XGB,F3,F4,485.358650,505.952732,-20.594082,-4.243065
LGBM,F0,F1,523.747124,463.096291,60.650833,11.580175
LGBM,F1,F2,463.096291,470.901242,-7.804951,-1.685384
LGBM,F2,F3,470.901242,490.672043,-19.770801,-4.198503
LGBM,F3,F4,490.672043,520.307638,-29.635595,-6.039797
LSTM,F0,F1,2931.793125,425.613657,2506.179467,85.482821
LSTM,F1,F2,425.613657,341.555811,84.057847,19.749800
LSTM,F2,F3,341.555811,357.638887,-16.083076,-4.708770
LSTM,F3,F4,357.638887,398.823615,-41.184728,-11.515730
