model,feature_set,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,pareto_efficient,multiobjective_pareto_efficient,rmse_normalized,cost_normalized,tradeoff_distance
LGBM,F0,3,523.747124,0.000000,339.520157,0.000000,1.069726,0.000000,0.993814,0.000000,2.358995,0.089422,0.073111,0.011111,False,False,0.070338,0.025039,0.052794
LGBM,F1,3,463.096291,0.000000,288.698241,0.000000,0.893729,0.000000,0.995164,0.000000,2.428431,0.117800,0.066128,0.001794,False,False,0.046923,0.022137,0.036686
LGBM,F2,3,470.901242,0.000000,289.165217,0.000000,0.889945,0.000000,0.994999,0.000000,2.738938,0.178351,0.079634,0.014406,False,False,0.049936,0.027749,0.040396
LGBM,F3,3,490.672043,0.000000,288.923411,0.000000,0.885116,0.000000,0.994571,0.000000,3.175855,0.073549,0.086581,0.009532,False,False,0.057569,0.030636,0.046112
LGBM,F4,3,520.307638,0.000000,296.810280,0.000000,0.902958,0.000000,0.993895,0.000000,3.706942,0.346918,0.083740,0.005071,False,False,0.069010,0.029455,0.053056
LSTM,F0,3,2931.793125,37.467912,2249.941409,48.619477,7.210309,0.194046,0.806143,0.004937,629.231368,248.752921,2.113456,0.083887,False,False,1.000000,0.872914,0.938610
LSTM,F1,3,425.613657,42.421754,318.095811,39.289705,1.062706,0.152089,0.995888,0.000825,413.235531,30.407748,1.055069,0.012953,True,True,0.032452,0.433096,0.307104
LSTM,F2,3,341.555811,9.982454,254.042396,6.394457,0.834641,0.018651,0.997368,0.000155,1026.488387,11.037450,1.499234,0.025654,True,True,0.000000,0.617671,0.436759
LSTM,F3,3,357.638887,34.798846,262.510599,22.198344,0.847055,0.057056,0.997097,0.000568,1034.785808,10.304366,1.497306,0.012682,True,True,0.006209,0.616870,0.436215
LSTM,F4,3,398.823615,62.811318,291.824545,43.324360,0.943434,0.129107,0.996353,0.001132,1884.030275,502.181655,2.419279,0.029286,False,False,0.022109,1.000000,0.707280
RF,F0,3,503.535887,0.170190,346.306693,0.196370,1.103503,0.000514,0.994282,0.000004,46.992524,1.070897,0.301511,0.073280,False,False,0.062535,0.119951,0.095653
RF,F1,3,475.884141,0.147753,321.196545,0.156585,1.011333,0.000569,0.994893,0.000003,46.481871,0.986698,0.292756,0.041493,False,False,0.051859,0.116313,0.090050
RF,F2,3,460.259806,0.263234,310.448531,0.382748,0.975540,0.001411,0.995223,0.000006,51.100011,3.693121,0.323729,0.064770,False,False,0.045827,0.129184,0.096924
RF,F3,3,462.775181,0.778945,312.344709,0.308548,0.982102,0.000844,0.995170,0.000016,53.570597,1.665288,0.322189,0.073633,False,False,0.046799,0.128544,0.096731
RF,F4,3,467.464798,1.653289,314.725192,0.471898,0.989096,0.000926,0.995072,0.000035,67.067193,1.388118,0.364987,0.016695,False,False,0.048609,0.146329,0.109030
XGB,F0,3,513.466500,13.332297,346.219303,11.380386,1.096253,0.037665,0.994052,0.000309,2.000617,0.098833,0.016223,0.004653,False,False,0.066369,0.001398,0.046940
XGB,F1,3,459.716804,8.190820,293.075720,7.866740,0.908355,0.026231,0.995233,0.000170,2.039399,0.164950,0.012858,0.000270,True,True,0.045618,0.000000,0.032257
XGB,F2,3,466.585916,13.599610,295.128263,9.316182,0.913373,0.029239,0.995088,0.000288,1.959345,0.043187,0.013492,0.000634,False,True,0.048270,0.000264,0.034132
XGB,F3,3,485.358650,18.647268,299.813922,11.666378,0.922800,0.035572,0.994682,0.000405,2.016042,0.041500,0.014388,0.001526,False,False,0.055517,0.000636,0.039259
XGB,F4,3,505.952732,7.384472,308.786877,5.761063,0.946668,0.018191,0.994227,0.000169,2.612031,0.218517,0.019093,0.004228,False,False,0.063468,0.002591,0.044916
