overall_rank,model,feature_set,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,rmse_rank,mae_rank,r2_rank,mape_rank,average_accuracy_rank
1,LSTM,F2,3,341.555811,9.982454,254.042396,6.394457,0.834641,0.018651,0.997368,0.000155,1026.488387,11.037450,1.499234,0.025654,1.000000,1.000000,1.000000,1.000000,1.000000
2,LSTM,F3,3,357.638887,34.798846,262.510599,22.198344,0.847055,0.057057,0.997097,0.000568,1034.785807,10.304366,1.497306,0.012682,2.000000,2.000000,2.000000,2.000000,2.000000
3,LSTM,F4,3,398.823615,62.811318,291.824545,43.324359,0.943434,0.129107,0.996354,0.001132,1884.030275,502.181654,2.419279,0.029286,3.000000,6.000000,3.000000,10.000000,5.500000
4,XGB,F1,3,459.716804,8.190820,293.075720,7.866739,0.908355,0.026231,0.995233,0.000170,2.039399,0.164949,0.012858,0.000271,5.000000,7.000000,5.000000,7.000000,6.000000
5,LGBM,F1,3,463.096291,0.000000,288.698241,0.000000,0.893729,0.000000,0.995164,0.000000,2.428431,0.117800,0.066127,0.001794,8.000000,3.000000,8.000000,5.000000,6.000000
6,LGBM,F2,3,470.901242,0.000000,289.165217,0.000000,0.889945,0.000000,0.994999,0.000000,2.738938,0.178351,0.079634,0.014406,11.000000,5.000000,11.000000,4.000000,7.750000
7,XGB,F2,3,466.585916,13.599610,295.128263,9.316182,0.913373,0.029239,0.995088,0.000288,1.959345,0.043187,0.013493,0.000634,9.000000,8.000000,9.000000,8.000000,8.500000
8,LGBM,F3,3,490.672043,0.000000,288.923411,0.000000,0.885116,0.000000,0.994571,0.000000,3.175856,0.073549,0.086581,0.009532,14.000000,4.000000,14.000000,3.000000,8.750000
9,RF,F2,3,460.259805,0.263234,310.448531,0.382749,0.975540,0.001412,0.995223,0.000005,51.100012,3.693121,0.323729,0.064770,6.000000,12.000000,6.000000,12.000000,9.000000
10,LSTM,F1,3,425.613657,42.421754,318.095811,39.289705,1.062706,0.152089,0.995888,0.000825,413.235531,30.407748,1.055069,0.012953,4.000000,15.000000,4.000000,16.000000,9.750000
11,RF,F3,3,462.775181,0.778945,312.344709,0.308548,0.982102,0.000844,0.995170,0.000016,53.570597,1.665288,0.322189,0.073633,7.000000,13.000000,7.000000,13.000000,10.000000
12,XGB,F3,3,485.358649,18.647268,299.813922,11.666378,0.922800,0.035572,0.994682,0.000405,2.016042,0.041501,0.014388,0.001526,13.000000,10.000000,13.000000,9.000000,11.250000
13,RF,F4,3,467.464798,1.653288,314.725193,0.471897,0.989096,0.000926,0.995072,0.000035,67.067193,1.388118,0.364987,0.016695,10.000000,14.000000,10.000000,14.000000,12.000000
14,LGBM,F4,3,520.307638,0.000000,296.810280,0.000000,0.902958,0.000000,0.993895,0.000000,3.706942,0.346919,0.083740,0.005071,18.000000,9.000000,18.000000,6.000000,12.750000
15,XGB,F4,3,505.952732,7.384472,308.786877,5.761063,0.946668,0.018192,0.994226,0.000169,2.612031,0.218517,0.019093,0.004228,16.000000,11.000000,16.000000,11.000000,13.500000
16,RF,F1,3,475.884141,0.147753,321.196546,0.156585,1.011334,0.000569,0.994893,0.000003,46.481871,0.986698,0.292756,0.041492,12.000000,16.000000,12.000000,15.000000,13.750000
17,RF,F0,3,503.535887,0.170190,346.306692,0.196371,1.103503,0.000514,0.994282,0.000004,46.992524,1.070897,0.301511,0.073280,15.000000,19.000000,15.000000,19.000000,17.000000
18,XGB,F0,3,513.466499,13.332297,346.219303,11.380386,1.096253,0.037664,0.994052,0.000309,2.000617,0.098832,0.016223,0.004654,17.000000,18.000000,17.000000,18.000000,17.500000
19,LGBM,F0,3,523.747124,0.000000,339.520157,0.000000,1.069726,0.000000,0.993814,0.000000,2.358995,0.089422,0.073111,0.011111,19.000000,17.000000,19.000000,17.000000,18.000000
20,LSTM,F0,3,2931.793125,37.467911,2249.941409,48.619477,7.210309,0.194046,0.806143,0.004937,629.231368,248.752921,2.113456,0.083887,20.000000,20.000000,20.000000,20.000000,20.000000
