model,feature_set,seed,rmse,mae,mape,r2,training_time,inference_time,mean_error,residual_std,n_test_samples,mape_valid_samples,dropped_rows,prediction_file,metadata_file
RF,F0,42,503.525279,346.182251,1.103322,0.994282,46.476117,0.230983,15.064477,503.351129,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F0_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F0_seed42.json
RF,F0,84,503.371249,346.204758,1.103105,0.994286,46.277685,0.296287,15.820923,503.173794,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F0_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F0_seed84.json
RF,F0,168,503.711133,346.533069,1.104083,0.994278,48.223771,0.377264,15.249735,503.531507,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F0_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F0_seed168.json
RF,F1,42,475.937188,321.031437,1.010680,0.994892,46.700033,0.340510,12.723609,475.815529,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F1_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F1_seed42.json
RF,F1,84,475.717188,321.342922,1.011603,0.994897,47.341231,0.272244,12.921929,475.590079,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F1_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F1_seed84.json
RF,F1,168,475.998047,321.215277,1.011717,0.994891,45.404350,0.265515,12.521622,475.881775,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F1_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F1_seed168.json
RF,F2,42,460.331092,310.857955,0.977156,0.995221,48.478154,0.262246,14.792739,460.140198,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F2_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F2_seed42.json
RF,F2,84,459.968270,310.099683,0.974552,0.995229,49.498288,0.317591,15.122754,459.766413,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F2_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F2_seed84.json
RF,F2,168,460.480055,310.387954,0.974911,0.995218,55.323592,0.391349,15.461738,460.267262,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F2_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F2_seed168.json
RF,F3,42,462.635047,312.015877,0.981136,0.995173,52.252879,0.323269,16.803984,462.376844,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F3_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F3_seed42.json
RF,F3,84,462.075816,312.390365,0.982695,0.995185,53.016649,0.248022,15.612216,461.859020,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F3_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F3_seed84.json
RF,F3,168,463.614681,312.627886,0.982475,0.995153,55.442262,0.395276,17.147469,463.344637,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F3_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F3_seed168.json
RF,F4,42,465.805361,314.381007,0.988844,0.995107,67.779164,0.348860,16.964031,465.543755,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F4_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F4_seed42.json
RF,F4,84,467.477165,314.531444,0.988322,0.995072,67.954870,0.382198,17.846901,467.183937,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F4_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F4_seed84.json
RF,F4,168,469.111869,315.263126,0.990122,0.995037,65.467546,0.363904,17.587629,468.829796,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\RF_F4_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\RF_F4_seed168.json
XGB,F0,42,512.359676,346.607321,1.096655,0.994080,2.106356,0.021591,16.762665,512.137538,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F0_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F0_seed42.json
XGB,F0,84,500.722117,334.649870,1.058389,0.994346,1.910568,0.013736,14.174074,500.572429,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F0_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F0_seed84.json
XGB,F0,168,527.317706,357.400718,1.133715,0.993729,1.984926,0.013341,15.545620,527.142182,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F0_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F0_seed168.json
XGB,F1,42,459.479721,293.862849,0.911746,0.995239,1.959445,0.012825,30.899251,458.486264,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F1_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F1_seed42.json
XGB,F1,84,468.023592,300.519305,0.932726,0.995060,2.229089,0.012605,31.941685,466.979888,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F1_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F1_seed84.json
XGB,F1,168,451.647099,284.845006,0.880594,0.995400,1.929664,0.013143,31.337087,450.604520,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F1_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F1_seed168.json
XGB,F2,42,461.134465,287.746620,0.887569,0.995205,2.006195,0.012817,33.212628,459.983696,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F2_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F2_seed42.json
XGB,F2,84,456.557792,292.042303,0.907419,0.995299,1.921124,0.014076,28.880457,455.689829,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F2_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F2_seed84.json
XGB,F2,168,482.065490,305.595865,0.945131,0.994759,1.950717,0.013584,32.643727,481.007937,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F2_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F2_seed168.json
XGB,F3,42,464.371401,286.386607,0.881814,0.995137,2.026368,0.016064,35.471424,463.061808,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F3_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F3_seed42.json
XGB,F3,84,491.684285,305.586946,0.940944,0.994548,2.051405,0.014019,40.660194,490.050084,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F3_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F3_seed84.json
