model,feature_set,rmse_mean,inference_time_mean,is_pareto
LSTM,F2,341.555811,1.499234,True
LSTM,F3,357.638887,1.497306,True
LSTM,F4,398.823615,2.419279,False
LSTM,F1,425.613657,1.055069,True
XGB,F1,459.716804,0.012858,True
RF,F2,460.259805,0.323729,False
RF,F3,462.775181,0.322189,False
LGBM,F1,463.096291,0.066127,False
XGB,F2,466.585916,0.013493,False
RF,F4,467.464798,0.364987,False
LGBM,F2,470.901242,0.079634,False
RF,F1,475.884141,0.292756,False
XGB,F3,485.358649,0.014388,False
LGBM,F3,490.672043,0.086581,False
RF,F0,503.535887,0.301511,False
XGB,F4,505.952732,0.019093,False
XGB,F0,513.466499,0.016223,False
LGBM,F4,520.307638,0.083740,False
LGBM,F0,523.747124,0.073111,False
LSTM,F0,2931.793125,2.113456,False
