model,feature_set,rmse_mean,training_time_mean,is_pareto
LSTM,F2,341.555811,1026.488387,True
LSTM,F3,357.638887,1034.785807,False
LSTM,F4,398.823615,1884.030275,False
LSTM,F1,425.613657,413.235531,True
XGB,F1,459.716804,2.039399,True
RF,F2,460.259805,51.100012,False
RF,F3,462.775181,53.570597,False
LGBM,F1,463.096291,2.428431,False
XGB,F2,466.585916,1.959345,True
RF,F4,467.464798,67.067193,False
LGBM,F2,470.901242,2.738938,False
RF,F1,475.884141,46.481871,False
XGB,F3,485.358649,2.016042,False
LGBM,F3,490.672043,3.175856,False
RF,F0,503.535887,46.992524,False
XGB,F4,505.952732,2.612031,False
XGB,F0,513.466499,2.000617,False
LGBM,F4,520.307638,3.706942,False
LGBM,F0,523.747124,2.358995,False
LSTM,F0,2931.793125,629.231368,False
