model,feature_set,rmse_f0,rmse_feature,rmse_reduction,improvement_percent
RF,F1,503.535887,475.884141,27.651746,5.491514
RF,F2,503.535887,460.259805,43.276082,8.594438
RF,F3,503.535887,462.775181,40.760706,8.094896
RF,F4,503.535887,467.464798,36.071089,7.163559
XGB,F1,513.466499,459.716804,53.749695,10.468004
XGB,F2,513.466499,466.585916,46.880583,9.130213
XGB,F3,513.466499,485.358649,28.107850,5.474135
XGB,F4,513.466499,505.952732,7.513767,1.463341
LGBM,F1,523.747124,463.096291,60.650833,11.580175
LGBM,F2,523.747124,470.901242,52.845882,10.089961
LGBM,F3,523.747124,490.672043,33.075081,6.315086
LGBM,F4,523.747124,520.307638,3.439486,0.656707
LSTM,F1,2931.793125,425.613657,2506.179468,85.482821
LSTM,F2,2931.793125,341.555811,2590.237314,88.349935
LSTM,F3,2931.793125,357.638887,2574.154238,87.801360
LSTM,F4,2931.793125,398.823615,2532.969510,86.396598
