model,feature_set,seed,file_count,status
RF,F0,42,1,complete
RF,F0,84,1,complete
RF,F0,168,1,complete
RF,F1,42,1,complete
RF,F1,84,1,complete
RF,F1,168,1,complete
RF,F2,42,1,complete
RF,F2,84,1,complete
RF,F2,168,1,complete
RF,F3,42,1,complete
RF,F3,84,1,complete
RF,F3,168,1,complete
RF,F4,42,1,complete
RF,F4,84,1,complete
RF,F4,168,1,complete
XGB,F0,42,1,complete
XGB,F0,84,1,complete
XGB,F0,168,1,complete
XGB,F1,42,1,complete
XGB,F1,84,1,complete
XGB,F1,168,1,complete
XGB,F2,42,1,complete
XGB,F2,84,1,complete
XGB,F2,168,1,complete
XGB,F3,42,1,complete
XGB,F3,84,1,complete
XGB,F3,168,1,complete
XGB,F4,42,1,complete
XGB,F4,84,1,complete
XGB,F4,168,1,complete
LGBM,F0,42,1,complete
LGBM,F0,84,1,complete
LGBM,F0,168,1,complete
LGBM,F1,42,1,complete
LGBM,F1,84,1,complete
LGBM,F1,168,1,complete
LGBM,F2,42,1,complete
LGBM,F2,84,1,complete
LGBM,F2,168,1,complete
LGBM,F3,42,1,complete
LGBM,F3,84,1,complete
LGBM,F3,168,1,complete
LGBM,F4,42,1,complete
LGBM,F4,84,1,complete
LGBM,F4,168,1,complete
LSTM,F0,42,1,complete
LSTM,F0,84,1,complete
LSTM,F0,168,1,complete
LSTM,F1,42,1,complete
LSTM,F1,84,1,complete
LSTM,F1,168,1,complete
LSTM,F2,42,1,complete
LSTM,F2,84,1,complete
LSTM,F2,168,1,complete
LSTM,F3,42,1,complete
LSTM,F3,84,1,complete
LSTM,F3,168,1,complete
LSTM,F4,42,1,complete
LSTM,F4,84,1,complete
LSTM,F4,168,1,complete
