model,baseline,feature_set,loss,block_length,bootstrap_repetitions,mean_difference,ci_lower,ci_upper,bootstrap_p_value
RF,F0,F1,squared,24,2000,27082.67878573,22331.41828440,31721.37427057,0.00000000
RF,F0,F2,squared,24,2000,41709.27430131,36267.75094910,47138.67824503,0.00000000
RF,F0,F3,squared,24,2000,39387.13607226,34026.57410379,45159.16959399,0.00000000
RF,F0,F4,squared,24,2000,35023.24898336,28748.19510569,41551.16387828,0.00000000
XGB,F0,F1,squared,24,2000,52382.08006398,37387.49357136,64706.76524517,0.00000000
XGB,F0,F2,squared,24,2000,45940.62984147,28078.50190544,61207.50069288,0.00000000
XGB,F0,F3,squared,24,2000,27961.51378793,972.12568057,50000.78946805,0.04500000
XGB,F0,F4,squared,24,2000,7741.82598219,-28530.07723016,37897.74836120,0.65000000
LGBM,F0,F1,squared,24,2000,59852.87502637,52657.41681589,66680.14460091,0.00000000
LGBM,F0,F2,squared,24,2000,52563.07020144,41826.41271215,62148.70783673,0.00000000
LGBM,F0,F3,squared,24,2000,33551.99588107,10220.22980351,53751.09790376,0.00600000
LGBM,F0,F4,squared,24,2000,3591.01137069,-37115.41821101,38097.09659658,0.85500000
LSTM,F0,F1,squared,24,2000,8414000.10070958,7747431.64995104,9247267.93904879,0.00000000
LSTM,F0,F2,squared,24,2000,8479620.01792347,7786198.70033597,9255051.09585029,0.00000000
LSTM,F0,F3,squared,24,2000,8467633.94310703,7748119.37920107,9238831.53490792,0.00000000
LSTM,F0,F4,squared,24,2000,8434656.37271642,7698547.69383390,9223043.47135954,0.00000000
