model,baseline,feature_set,rmse_baseline,rmse,mae_baseline,mae,mape,r2,delta_rmse,rmse_improvement_percent,delta_mae,mae_improvement_percent,combined_dm_z,raw_p_value,n_seeds_tested,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value,adjusted_p_value,better_than_baseline,significant_after_correction,bootstrap_ci_excludes_zero,significant_improvement
RF,F0,F1,503.53588700,475.88414100,346.30669267,321.19654533,1.01133333,0.99489333,27.65174600,5.49151445,25.11014733,7.25084091,10.74090326,0.00000000,3,22331.41828440,31721.37427057,0.00000000,0.00000000,True,True,True,True
RF,F0,F2,503.53588700,460.25980567,346.30669267,310.44853067,0.97553967,0.99522267,43.27608133,8.59443834,35.85816200,10.35445250,14.97287046,0.00000000,3,36267.75094910,47138.67824503,0.00000000,0.00000000,True,True,True,True
RF,F0,F3,503.53588700,462.77518133,346.30669267,312.34470933,0.98210200,0.99517033,40.76070567,8.09489586,33.96198333,9.80690932,13.69539716,0.00000000,3,34026.57410379,45159.16959399,0.00000000,0.00000000,True,True,True,True
RF,F0,F4,503.53588700,467.46479833,346.30669267,314.72519233,0.98909600,0.99507200,36.07108867,7.16355867,31.58150033,9.11951776,10.47491916,0.00000000,3,28748.19510569,41551.16387828,0.00000000,0.00000000,True,True,True,True
XGB,F0,F1,513.46649967,459.71680400,346.21930300,293.07572000,0.90835533,0.99523300,53.74969567,10.46800438,53.14358300,15.34968806,7.88807941,0.00000000,3,37387.49357136,64706.76524517,0.00000000,0.00000000,True,True,True,True
XGB,F0,F2,513.46649967,466.58591567,346.21930300,295.12826267,0.91337300,0.99508767,46.88058400,9.13021279,51.09104033,14.75684339,5.93829674,0.00000000,3,28078.50190544,61207.50069288,0.00000000,0.00000001,True,True,True,True
XGB,F0,F3,513.46649967,485.35864967,346.21930300,299.81392167,0.92279967,0.99468233,28.10785000,5.47413512,46.40538133,13.40346449,2.73064787,0.00632100,3,972.12568057,50000.78946805,0.04500000,0.01896299,True,True,True,True
XGB,F0,F4,513.46649967,505.95273167,346.21930300,308.78687733,0.94666800,0.99422667,7.51376800,1.46334143,37.43242567,10.81176738,0.44804549,0.65412036,3,-28530.07723016,37897.74836120,0.65000000,1.00000000,True,False,False,False
LGBM,F0,F1,523.74712400,463.09629100,339.52015700,288.69824100,0.89372900,0.99516400,60.65083300,11.58017490,50.82191600,14.96874779,16.18851629,0.00000000,3,52657.41681589,66680.14460091,0.00000000,0.00000000,True,True,True,True
LGBM,F0,F2,523.74712400,470.90124200,339.52015700,289.16521700,0.88994500,0.99499900,52.84588200,10.08996128,50.35494000,14.83120780,10.03463015,0.00000000,3,41826.41271215,62148.70783673,0.00000000,0.00000000,True,True,True,True
LGBM,F0,F3,523.74712400,490.67204300,339.52015700,288.92341100,0.88511600,0.99457100,33.07508100,6.31508594,50.59674600,14.90242772,2.94980426,0.00317975,3,10220.22980351,53751.09790376,0.00600000,0.01271901,True,True,True,True
LGBM,F0,F4,523.74712400,520.30763800,339.52015700,296.81028000,0.90295800,0.99389500,3.43948600,0.65670738,42.70987700,12.57948199,0.17432479,0.86161022,3,-37115.41821101,38097.09659658,0.85500000,1.00000000,True,False,False,False
LSTM,F0,F1,2931.79312467,425.61365733,2249.94140900,318.09581133,1.06270567,0.99588800,2506.17946733,85.48282095,1931.84559767,85.86204023,21.62227771,0.00000000,3,7747431.64995104,9247267.93904879,0.00000000,0.00000000,True,True,True,True
LSTM,F0,F2,2931.79312467,341.55581067,2249.94140900,254.04239633,0.83464100,0.99736767,2590.23731400,88.34993480,1995.89901267,88.70893281,21.85806641,0.00000000,3,7786198.70033597,9255051.09585029,0.00000000,0.00000000,True,True,True,True
LSTM,F0,F3,2931.79312467,357.63888667,2249.94140900,262.51059933,0.84705467,0.99709733,2574.15423800,87.80136007,1987.43080967,88.33255843,21.86800978,0.00000000,3,7748119.37920107,9238831.53490792,0.00000000,0.00000000,True,True,True,True
LSTM,F0,F4,2931.79312467,398.82361467,2249.94140900,291.82454467,0.94343433,0.99635333,2532.96951000,86.39659766,1958.11686433,87.02968248,21.81935347,0.00000000,3,7698547.69383390,9223043.47135954,0.00000000,0.00000000,True,True,True,True
