model,baseline,feature_set,mean_delta_rmse,ci_lower,ci_upper,n_seeds
RF,F0,F1,27.65174600,27.58809100,27.71308600,3
RF,F0,F2,43.27608133,43.19418700,43.40297900,3
RF,F0,F3,40.76070567,40.09645200,41.29543300,3
RF,F0,F4,36.07108867,34.59926400,37.71991800,3
XGB,F0,F1,53.74969567,32.69852500,75.67060700,3
XGB,F0,F2,46.88058400,44.16432500,51.22521100,3
XGB,F0,F3,28.10785000,9.03783200,47.98827500,3
XGB,F0,F4,7.51376800,-1.64556500,22.96259900,3
LGBM,F0,F1,60.65083300,60.65083300,60.65083300,3
LGBM,F0,F2,52.84588200,52.84588200,52.84588200,3
LGBM,F0,F3,33.07508100,33.07508100,33.07508100,3
LGBM,F0,F4,3.43948600,3.43948600,3.43948600,3
LSTM,F0,F1,2506.17946733,2417.44321300,2562.27554000,3
LSTM,F0,F2,2590.23731400,2550.86464000,2615.77541100,3
LSTM,F0,F3,2574.15423800,2537.01904700,2623.53473500,3
LSTM,F0,F4,2532.96951000,2426.86500200,2613.47517300,3
