model,from_feature_set,to_feature_set,rmse_from,rmse_to,delta_rmse,improvement_percent
RF,F0,F1,503.53588700,475.88414100,27.65174600,5.49151445
RF,F1,F2,475.88414100,460.25980567,15.62433533,3.28322253
RF,F2,F3,460.25980567,462.77518133,-2.51537567,-0.54651213
RF,F3,F4,462.77518133,467.46479833,-4.68961700,-1.01336830
XGB,F0,F1,513.46649967,459.71680400,53.74969567,10.46800438
XGB,F1,F2,459.71680400,466.58591567,-6.86911167,-1.49420504
XGB,F2,F3,466.58591567,485.35864967,-18.77273400,-4.02342492
XGB,F3,F4,485.35864967,505.95273167,-20.59408200,-4.24306480
LGBM,F0,F1,523.74712400,463.09629100,60.65083300,11.58017490
LGBM,F1,F2,463.09629100,470.90124200,-7.80495100,-1.68538404
LGBM,F2,F3,470.90124200,490.67204300,-19.77080100,-4.19850262
LGBM,F3,F4,490.67204300,520.30763800,-29.63559500,-6.03979693
LSTM,F0,F1,2931.79312467,425.61365733,2506.17946733,85.48282095
LSTM,F1,F2,425.61365733,341.55581067,84.05784667,19.74980013
LSTM,F2,F3,341.55581067,357.63888667,-16.08307600,-4.70876955
LSTM,F3,F4,357.63888667,398.82361467,-41.18472800,-11.51572984
