model,feature_set,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,pareto_efficient,multiobjective_pareto_efficient,rmse_normalized,cost_normalized,tradeoff_distance
LGBM,F0,3,523.74712400,0.00000000,339.52015700,0.00000000,1.06972600,0.00000000,0.99381400,0.00000000,2.35899500,0.08942177,0.07311100,0.01111071,False,False,0.07033769,0.00021235,0.04973649
LGBM,F1,3,463.09629100,0.00000000,288.69824100,0.00000000,0.89372900,0.00000000,0.99516400,0.00000000,2.42843100,0.11780029,0.06612767,0.00179438,False,False,0.04692253,0.00024924,0.03317971
LGBM,F2,3,470.90124200,0.00000000,289.16521700,0.00000000,0.88994500,0.00000000,0.99499900,0.00000000,2.73893800,0.17835131,0.07963433,0.01440649,False,False,0.04993575,0.00041422,0.03531112
LGBM,F3,3,490.67204300,0.00000000,288.92341100,0.00000000,0.88511600,0.00000000,0.99457100,0.00000000,3.17585533,0.07354872,0.08658133,0.00953202,False,False,0.05756856,0.00064637,0.04070968
LGBM,F4,3,520.30763800,0.00000000,296.81028000,0.00000000,0.90295800,0.00000000,0.99389500,0.00000000,3.70694167,0.34691845,0.08374000,0.00507132,False,False,0.06900983,0.00092855,0.04880173
LSTM,F0,3,2931.79312467,37.46791153,2249.94140900,48.61947671,7.21030933,0.19404620,0.80614267,0.00493664,629.23136800,248.75292100,2.11345567,0.08388656,False,False,1.00000000,0.33328819,0.74534590
LSTM,F1,3,425.61365733,42.42175368,318.09581133,39.28970544,1.06270567,0.15208881,0.99588800,0.00082524,413.23553067,30.40774804,1.05506933,0.01295333,True,True,0.03245179,0.21852321,0.15621382
LSTM,F2,3,341.55581067,9.98245423,254.04239633,6.39445746,0.83464100,0.01865138,0.99736767,0.00015497,1026.48838733,11.03744971,1.49923400,0.02565424,True,True,0.00000000,0.54436261,0.38492249
LSTM,F3,3,357.63888667,34.79884599,262.51059933,22.19834380,0.84705467,0.05705639,0.99709733,0.00056844,1034.78580767,10.30436573,1.49730633,0.01268225,False,True,0.00620911,0.54877127,0.38806473
LSTM,F4,3,398.82361467,62.81131817,291.82454467,43.32435959,0.94343433,0.12910725,0.99635333,0.00113202,1884.03027533,502.18165462,2.41927900,0.02928578,False,False,0.02210910,1.00000000,0.70727958
RF,F0,3,503.53588700,0.17019013,346.30669267,0.19637038,1.10350333,0.00051360,0.99428200,0.00000400,46.99252433,1.07089686,0.30151133,0.07328030,False,False,0.06253484,0.02392746,0.04734517
RF,F1,3,475.88414100,0.14775294,321.19654533,0.15658507,1.01133333,0.00056867,0.99489333,0.00000321,46.48187133,0.98669797,0.29275633,0.04149252,False,False,0.05185947,0.02365614,0.04030519
RF,F2,3,460.25980567,0.26323426,310.44853067,0.38274829,0.97553967,0.00141125,0.99522267,0.00000569,51.10001133,3.69312112,0.32372867,0.06476997,False,False,0.04582746,0.02610989,0.03729532
RF,F3,3,462.77518133,0.77894454,312.34470933,0.30854835,0.98210200,0.00084378,0.99517033,0.00001617,53.57059667,1.66528811,0.32218900,0.07363294,False,False,0.04679856,0.02742259,0.03835429
RF,F4,3,467.46479833,1.65328869,314.72519233,0.47189755,0.98909600,0.00092608,0.99507200,0.00003500,67.06719333,1.38811809,0.36498733,0.01669538,False,False,0.04860905,0.03459373,0.04218748
XGB,F0,3,513.46649967,13.33229660,346.21930300,11.38038618,1.09625300,0.03766461,0.99405167,0.00030947,2.00061667,0.09883260,0.01622267,0.00465331,False,False,0.06636870,0.00002193,0.04692976
XGB,F1,3,459.71680400,8.19082029,293.07572000,7.86673956,0.90835533,0.02623088,0.99523300,0.00017008,2.03939933,0.16494955,0.01285767,0.00027048,True,True,0.04561783,0.00004254,0.03225669
XGB,F2,3,466.58591567,13.59961029,295.12826267,9.31618200,0.91337300,0.02923925,0.99508767,0.00028849,1.95934533,0.04318686,0.01349233,0.00063449,True,True,0.04826975,0.00000000,0.03413187
XGB,F3,3,485.35864967,18.64726755,299.81392167,11.66637796,0.92279967,0.03557224,0.99468233,0.00040459,2.01604233,0.04150037,0.01438767,0.00152578,False,False,0.05551724,0.00003012,0.03925663
XGB,F4,3,505.95273167,7.38447179,308.78687733,5.76106267,0.94666800,0.01819129,0.99422667,0.00016912,2.61203133,0.21851714,0.01909267,0.00422822,False,False,0.06346790,0.00034679,0.04487925
