number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,381.77415308251466,2026-07-23 14:56:20.550508,2026-07-23 14:56:27.963787,0 days 00:00:07.413279,0.6,0.07661100707771368,127,8,20,0.000602521573620386,750,243,5.360294728728285,0.552807557569426,0.6,0,29,F1,6.7293672999949194,lgbm,22914,381.77415308251466,4910,COMPLETE
1,419.16471519444616,2026-07-23 14:56:28.347668,2026-07-23 14:56:32.737934,0 days 00:00:04.390266,0.65,0.02692655251486473,255,7,65,0.0004982752357076451,500,70,0.00042472707398058225,0.0032364259509045684,0.7,5,29,F1,3.7913399999961257,lgbm,22914,419.16471519444616,4910,COMPLETE
2,389.2058534939808,2026-07-23 14:56:33.086557,2026-07-23 14:56:36.220760,0 days 00:00:03.134203,0.8,0.26690431824362526,255,3,85,0.0033347927286375843,1000,7,2.039373116525212e-08,2.8682455958475566,0.6,0,29,F1,2.543341899989173,lgbm,22914,389.2058534939808,4910,COMPLETE
3,429.85804869586804,2026-07-23 14:56:36.579480,2026-07-23 14:56:39.920419,0 days 00:00:03.340939,0.65,0.27051668818999286,511,10,80,4.9830438374949075,250,143,2.5529693461039728e-08,1.06146863271886e-05,1.0,1,29,F1,2.5955566000193357,lgbm,22914,429.85804869586804,4910,COMPLETE
4,404.0319586023393,2026-07-23 14:56:40.276715,2026-07-23 14:56:44.812291,0 days 00:00:04.535576,0.95,0.016149614799999188,127,7,85,0.0002359137306347715,600,41,0.022999378190815954,0.060327806807000194,1.0,0,29,F1,3.948223899991717,lgbm,22914,404.0319586023393,4910,COMPLETE
5,463.97198935867874,2026-07-23 14:56:45.153140,2026-07-23 14:56:48.453781,0 days 00:00:03.300641,0.8,0.030816017044468066,511,4,10,0.0035884889113862576,650,14,1.1921975182604538e-07,0.04304385504710882,0.7,5,29,F1,2.7157387000042945,lgbm,22914,463.97198935867874,4910,COMPLETE
6,434.5532915215766,2026-07-23 14:56:48.790945,2026-07-23 14:57:03.132397,0 days 00:00:14.341452,0.7,0.010903028125370985,511,9,15,0.00014359718569878106,500,137,4.9368087974032924e-05,0.10651329083276961,0.85,5,29,F1,13.760116400022525,lgbm,22914,434.5532915215766,4910,COMPLETE
7,364.0016341029484,2026-07-23 14:57:03.478625,2026-07-23 14:57:07.813473,0 days 00:00:04.334848,1.0,0.08622121759478739,511,5,90,1.0431827200054888,850,30,7.278322158604965e-06,1.0558354782789508e-07,0.65,0,29,F1,3.7586897000437602,lgbm,22914,364.0016341029484,4910,COMPLETE
8,477.22648994405625,2026-07-23 14:57:08.165026,2026-07-23 14:57:10.565862,0 days 00:00:02.400836,0.9,0.04135867955263894,127,15,25,0.0003974905761171869,550,9,1.8735548907110496e-05,10.928845857571751,0.75,0,29,F1,1.8209822000353597,lgbm,22914,477.22648994405625,4910,COMPLETE
9,436.7955290252085,2026-07-23 14:57:10.932331,2026-07-23 14:57:12.325095,0 days 00:00:01.392764,0.8,0.07950609693143304,255,7,55,0.0001808813356570827,100,42,7.427695424061678,1.7838705712297361e-06,0.7,0,29,F1,0.7796450000023469,lgbm,22914,436.7955290252085,4910,COMPLETE
