number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_dense_dropout,params_dense_units,params_l2_regularization,params_learning_rate,params_lstm_dropout,params_lstm_layers,params_optimizer,params_units_layer_1,params_units_layer_2,user_attrs_batch_size,user_attrs_best_epoch,user_attrs_best_scaled_val_loss,user_attrs_best_scaled_val_rmse,user_attrs_early_stopping_min_delta,user_attrs_early_stopping_patience,user_attrs_epochs_trained,user_attrs_feature_set,user_attrs_final_training_loss,user_attrs_final_validation_loss,user_attrs_fit_and_predict_seconds,user_attrs_max_epochs,user_attrs_model,user_attrs_restore_best_weights,user_attrs_sequence_feature_count,user_attrs_sequence_feature_names,user_attrs_sequence_input_shape,user_attrs_shuffle,user_attrs_static_feature_count,user_attrs_static_feature_names,user_attrs_test_data_used,user_attrs_timesteps,user_attrs_train_rows,user_attrs_trainable_parameters,user_attrs_uses_static_branch,user_attrs_validation_rmse,user_attrs_validation_rows,user_attrs_x_scaler_fit_on,user_attrs_y_scaler_fit_on,state
0,521.778794159645,2026-07-23 14:59:57.314202,2026-07-23 15:04:57.962824,0 days 00:05:00.648622,64,0.8152843673110735,0.30000000000000004,112,1.2674255898937194e-08,0.0015958573588141277,0.0,1,adam,64,,64.0,32.0,0.007887504994869232,0.08881162646224441,1e-05,10.0,42.0,F0,0.014221218414604664,0.009679054841399193,296.53251380001893,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,0.0,[],False,24.0,22914.0,24289.0,False,521.778794159645,4910.0,train_only,train_only,COMPLETE
1,547.3549786119723,2026-07-23 15:04:58.463961,2026-07-23 15:15:34.182416,0 days 00:10:35.718455,256,1.6338208828908807,0.1,32,1.9069966103000414e-06,0.0004192159350410976,0.30000000000000004,1,adam,96,,256.0,98.0,0.00881674699485302,0.09389753455151535,1e-05,10.0,100.0,F0,0.01960492879152298,0.009161529131233692,633.8198169000098,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,0.0,[],False,24.0,22914.0,40769.0,False,547.3549786119723,4910.0,train_only,train_only,COMPLETE
2,504.05585971721746,2026-07-23 15:15:34.671116,2026-07-23 15:58:58.680690,0 days 00:43:24.009574,128,1.563676518390185,0.1,112,2.6373339933815247e-05,0.00014653521030672147,0.4,1,adam,256,,128.0,96.0,0.008760333061218262,0.09359665090812952,1e-05,10.0,100.0,F0,0.013672959990799427,0.009797892533242702,2601.158999800042,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,0.0,[],False,24.0,22914.0,293089.0,False,504.05585971721746,4910.0,train_only,train_only,COMPLETE
3,0.0226385910063982,2026-07-23 15:58:59.298443,2026-07-23 16:06:32.921046,0 days 00:07:33.622603,64,4.176805377655878,0.4,32,0.0004983043837494911,0.002074566765675252,0.2,1,adam,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
4,629.4688421692472,2026-07-23 16:06:33.522373,2026-07-23 16:12:05.697024,0 days 00:05:32.174651,256,4.851286697060361,0.1,48,5.0654860639753365e-08,0.0008356499023325525,0.4,1,adam,96,,256.0,39.0,0.011480738408863544,0.10714820767919334,1e-05,10.0,49.0,F0,0.022483106702566147,0.011741729453206062,329.9432757999748,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,0.0,[],False,24.0,22914.0,42337.0,False,629.4688421692472,4910.0,train_only,train_only,COMPLETE
5,0.1916324943304062,2026-07-23 16:12:06.192264,2026-07-23 16:14:15.062397,0 days 00:02:08.870133,256,0.5787997763336384,0.1,16,0.00020678409397839476,0.0001573468512939367,0.30000000000000004,2,adam,192,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
6,0.016804438084363937,2026-07-23 16:14:34.076552,2026-07-23 16:15:45.400772,0 days 00:01:11.324220,256,0.5301382389479431,0.2,112,2.944272359149678e-06,0.002041033406525706,0.30000000000000004,1,adam,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.04615407809615135,2026-07-23 16:15:45.917144,2026-07-23 16:20:57.143584,0 days 00:05:11.226440,128,4.252728490529759,0.30000000000000004,64,2.4260488932164464e-08,0.0002447491657907381,0.1,2,adam,256,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.06450583040714264,2026-07-23 16:20:57.639159,2026-07-23 16:23:16.419644,0 days 00:02:18.780485,64,3.6282782683930894,0.1,128,1.3793542352772468e-07,0.0001538065811598203,0.4,2,rmsprop,160,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,0.015049036592245102,2026-07-23 16:23:17.077213,2026-07-23 16:38:59.471496,0 days 00:15:42.394283,32,1.5711531129544822,0.30000000000000004,80,0.0007226207258080493,0.00041475896984548505,0.1,1,adam,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
