number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_dense_dropout,params_dense_units,params_l2_regularization,params_learning_rate,params_lstm_dropout,params_lstm_layers,params_optimizer,params_static_dense_units,params_units_layer_1,params_units_layer_2,user_attrs_batch_size,user_attrs_best_epoch,user_attrs_best_scaled_val_loss,user_attrs_best_scaled_val_rmse,user_attrs_early_stopping_min_delta,user_attrs_early_stopping_patience,user_attrs_epochs_trained,user_attrs_feature_set,user_attrs_final_training_loss,user_attrs_final_validation_loss,user_attrs_fit_and_predict_seconds,user_attrs_max_epochs,user_attrs_model,user_attrs_restore_best_weights,user_attrs_sequence_feature_count,user_attrs_sequence_feature_names,user_attrs_sequence_input_shape,user_attrs_shuffle,user_attrs_static_feature_count,user_attrs_static_feature_names,user_attrs_test_data_used,user_attrs_timesteps,user_attrs_train_rows,user_attrs_trainable_parameters,user_attrs_uses_static_branch,user_attrs_validation_rmse,user_attrs_validation_rows,user_attrs_x_scaler_fit_on,user_attrs_y_scaler_fit_on,state
0,477.5517046335621,2026-07-23 20:28:35.633008,2026-07-23 20:32:40.533757,0 days 00:04:04.900749,64,0.8152843673110735,0.30000000000000004,112,1.2674255898937194e-08,0.0015958573588141277,0.0,1,adam,16,64,,64.0,34.0,0.006608563009649515,0.08129306864456227,1e-05,10.0,44.0,F4,0.013795161619782448,0.011582711711525917,240.72855870000785,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,16.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168', 'rolling_mean_24', 'rolling_std_24', 'rolling_min_24', 'rolling_max_24', 'rolling_mean_168', 'rolling_std_168']",False,24.0,22914.0,26353.0,True,477.5517046335621,4910.0,train_only,train_only,COMPLETE
1,426.72539772941633,2026-07-23 20:32:41.537343,2026-07-23 20:48:46.348401,0 days 00:16:04.811058,128,1.9560708142748473,0.1,48,8.431013932082453e-05,0.0005954553793888993,0.0,1,rmsprop,8,160,,128.0,84.0,0.006704282481223345,0.08187968295751605,1e-05,10.0,94.0,F4,0.011140513233840466,0.011243892833590508,960.8273963999818,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,16.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168', 'rolling_mean_24', 'rolling_std_24', 'rolling_min_24', 'rolling_max_24', 'rolling_mean_168', 'rolling_std_168']",False,24.0,22914.0,111977.0,True,426.72539772941633,4910.0,train_only,train_only,COMPLETE
2,560.6188977039604,2026-07-23 20:48:47.334227,2026-07-23 21:01:07.776734,0 days 00:12:20.442507,256,4.057797837985249,0.30000000000000004,16,4.075596440072863e-08,0.0005595074635794797,0.1,2,adam,48,224,64.0,256.0,35.0,0.00911925919353962,0.09549481239072424,1e-05,10.0,45.0,F4,0.06501976400613785,0.017542926594614983,736.402461599966,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,16.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168', 'rolling_mean_24', 'rolling_std_24', 'rolling_min_24', 'rolling_max_24', 'rolling_mean_168', 'rolling_std_168']",False,24.0,22914.0,279121.0,True,560.6188977039604,4910.0,train_only,train_only,COMPLETE
3,521.1133518136099,2026-07-23 21:01:08.730205,2026-07-23 21:14:10.247675,0 days 00:13:01.517470,128,1.0575486010842792,0.2,128,2.7698899227562766e-08,0.0036832964384234204,0.4,2,adam,24,224,96.0,128.0,21.0,0.0078891571611166,0.0888209274952508,1e-05,10.0,31.0,F4,0.019957387819886208,0.009887449443340302,776.5054047000012,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,16.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168', 'rolling_mean_24', 'rolling_std_24', 'rolling_min_24', 'rolling_max_24', 'rolling_mean_168', 'rolling_std_168']",False,24.0,22914.0,341785.0,True,521.1133518136099,4910.0,train_only,train_only,COMPLETE
4,372.62761723749736,2026-07-23 21:14:11.347471,2026-07-23 21:44:28.061351,0 days 00:30:16.713880,32,2.6790275046159313,0.30000000000000004,128,1.0656401760606435e-08,0.00021757649801197563,0.0,1,adam,56,224,,32.0,65.0,0.004024900961667299,0.06344210716603996,1e-05,10.0,75.0,F4,0.010784211568534374,0.00409406702965498,1812.3107144000242,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,16.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168', 'rolling_mean_24', 'rolling_std_24', 'rolling_min_24', 'rolling_max_24', 'rolling_mean_168', 'rolling_std_168']",False,24.0,22914.0,239545.0,True,372.62761723749736,4910.0,train_only,train_only,COMPLETE
5,0.044451382011175156,2026-07-23 21:44:29.062124,2026-07-23 21:46:08.146510,0 days 00:01:39.084386,256,0.6585128442627549,0.1,48,1.540945776288154e-05,0.00173611708903933,0.0,2,adam,56,96,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
6,0.03190917521715164,2026-07-23 21:46:12.784545,2026-07-23 21:46:42.599218,0 days 00:00:29.814673,64,1.2863315666249775,0.30000000000000004,16,3.4902252478382486e-06,0.00034204353211648276,0.0,1,adam,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.14998012781143188,2026-07-23 21:46:43.642766,2026-07-23 21:48:50.023522,0 days 00:02:06.380756,128,3.9360563222625315,0.4,112,0.00029026521418263907,0.00020748033175894872,0.30000000000000004,2,rmsprop,8,224,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.07593308389186859,2026-07-23 21:48:51.128415,2026-07-23 21:49:46.753329,0 days 00:00:55.624914,256,2.5234166438279253,0.0,32,0.0005182609891091995,0.0003746261155838961,0.2,1,rmsprop,24,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,0.017986850813031197,2026-07-23 21:49:47.837012,2026-07-23 21:51:17.542228,0 days 00:01:29.705216,32,0.6980151943608436,0.2,80,2.473046721099908e-07,0.00012230968684637632,0.0,1,adam,32,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
