number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,488.09361364272195,2026-07-23 14:40:31.847310,2026-07-23 14:40:56.376738,0 days 00:00:24.529428,True,squared_error,34,0.5,0.65,6,15,300,40,F4,23.84185459994478,rf,22914,488.09361364272195,4910,COMPLETE
1,780.1529820932648,2026-07-23 14:40:56.833811,2026-07-23 14:41:05.449516,0 days 00:00:08.615705,False,squared_error,10,log2,,6,7,200,40,F4,7.973584300023504,rf,22914,780.1529820932648,4910,COMPLETE
2,490.98100435522764,2026-07-23 14:41:05.865494,2026-07-23 14:41:38.083896,0 days 00:00:32.218402,True,squared_error,23,0.5,0.65,7,2,400,40,F4,31.579297399963252,rf,22914,490.98100435522764,4910,COMPLETE
3,765.2888836880592,2026-07-23 14:41:38.491570,2026-07-23 14:42:26.591872,0 days 00:00:48.100302,True,squared_error,6,1.0,0.85,3,19,400,40,F4,47.49353809998138,rf,22914,765.2888836880592,4910,COMPLETE
4,706.1701167902445,2026-07-23 14:42:26.981572,2026-07-23 14:43:33.464489,0 days 00:01:06.482917,False,friedman_mse,7,0.5,,1,5,650,40,F4,65.9052658000146,rf,22914,706.1701167902445,4910,COMPLETE
5,578.3433179093532,2026-07-23 14:43:33.816359,2026-07-23 14:43:40.533212,0 days 00:00:06.716853,False,friedman_mse,35,sqrt,,2,16,100,40,F4,6.224226500024088,rf,22914,578.3433179093532,4910,COMPLETE
6,423.97762504416585,2026-07-23 14:43:40.883777,2026-07-23 14:45:05.621531,0 days 00:01:24.737754,False,squared_error,15,0.5,,4,3,500,40,F4,83.89127329998882,rf,22914,423.97762504416585,4910,COMPLETE
7,429.332624437513,2026-07-23 14:45:06.388740,2026-07-23 14:46:48.674487,0 days 00:01:42.285747,False,friedman_mse,20,0.5,,5,11,600,40,F4,101.63930959999561,rf,22914,429.332624437513,4910,COMPLETE
8,647.208734347304,2026-07-23 14:46:49.083047,2026-07-23 14:47:04.582361,0 days 00:00:15.499314,True,squared_error,12,sqrt,0.95,3,3,550,40,F4,14.94959779997589,rf,22914,647.208734347304,4910,COMPLETE
9,645.3118800368445,2026-07-23 14:47:04.950303,2026-07-23 14:47:23.798488,0 days 00:00:18.848185,True,friedman_mse,14,log2,1.0,3,4,650,40,F4,18.262160199985374,rf,22914,645.3118800368445,4910,COMPLETE
