model,feature_set,best_validation_rmse,best_trial_number,completed_trials,pruned_trials,failed_trials,elapsed_seconds
lgbm,F0,455.5563610347718,7,10,0,0,46.90958879998652
lgbm,F1,364.0016341029484,7,10,0,0,52.096467899973504
lgbm,F2,370.25631129528733,7,10,0,0,53.37708600005135
lgbm,F3,371.9556718616824,7,10,0,0,53.10606929997448
lgbm,F4,384.18941465630985,7,10,0,0,55.46821830002591
lstm,F0,504.05585971721746,2,4,6,0,5942.909176699992
lstm,F1,475.864775146959,0,5,5,0,4734.398921400018
lstm,F2,359.0985779911578,9,5,5,0,5646.538317999977
lstm,F3,380.8923024016748,9,4,6,0,3389.6436488000327
lstm,F4,372.62761723749736,4,5,5,0,4962.991461199999
rf,F0,469.91857100555865,6,10,0,0,283.0802002999699
rf,F1,434.45745364140015,6,10,0,0,321.1247383999871
rf,F2,419.9746342930532,6,10,0,0,336.60243759996956
rf,F3,420.9180822816713,6,10,0,0,372.6394156999886
rf,F4,423.97762504416585,6,10,0,0,412.31959420000203
xgb,F0,462.99617975099954,7,10,0,0,102.44468529999722
xgb,F1,371.1419366701696,7,10,0,0,89.63677530002315
xgb,F2,362.4178892191397,7,10,0,0,89.0359992000158
xgb,F3,366.17155067974585,7,10,0,0,92.57910680002533
xgb,F4,394.36468386516304,7,10,0,0,111.41751249996014
