number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,445.91503002625194,2026-07-23 14:49:07.831683,2026-07-23 14:49:30.015231,0 days 00:00:22.183548,0.65,0.2904180608409973,0.1205712628744377,512,12,6.009974718380312,450,0.6245760287469893,0.003899318902679121,0.65,29,F1,21.55381449998822,xgb,22914,445.91503002625194,4910,COMPLETE
1,417.1279054450365,2026-07-23 14:49:30.381378,2026-07-23 14:49:39.972128,0 days 00:00:09.590750,0.8,2.1597250932105787,0.01855998084649059,512,5,1.7322667470546256,850,4.17890272377219e-06,0.00490752054869073,0.7,29,F1,8.96255579998251,xgb,22914,417.1279054450365,4910,COMPLETE
2,420.21675283651575,2026-07-23 14:49:40.365608,2026-07-23 14:50:02.567511,0 days 00:00:22.201903,0.6,3.0377242595071916,0.019721610970574007,256,10,4.666963767236923,500,3.425445902633376e-07,4.0276045018932577e-08,0.85,29,F1,21.638763099967036,xgb,22914,420.21675283651575,4910,COMPLETE
3,504.34217453304814,2026-07-23 14:50:03.060566,2026-07-23 14:50:04.785514,0 days 00:00:01.724948,0.8,0.17194260557609198,0.1024932221692416,128,3,3.738105868191796,350,1.527156759251193,2.5522333020957386e-06,0.65,29,F1,1.1705993000068702,xgb,22914,504.34217453304814,4910,COMPLETE
4,386.8549899893446,2026-07-23 14:50:05.138991,2026-07-23 14:50:09.596525,0 days 00:00:04.457534,1.0,2.9894998940554256,0.27051668818999286,512,4,10.196967939171484,600,1.9809253750493907,6.65382563621179e-08,1.0,29,F1,3.8413438000134192,xgb,22914,386.8549899893446,4910,COMPLETE
5,389.92601193786794,2026-07-23 14:50:10.022429,2026-07-23 14:50:13.355865,0 days 00:00:03.333436,0.8,0.7046211248738132,0.16755052359850303,128,5,2.9117010232427414,450,0.16587190283399655,4.936257118809177e-08,0.7,29,F1,2.779398500046227,xgb,22914,389.92601193786794,4910,COMPLETE
6,434.85404604869433,2026-07-23 14:50:13.709745,2026-07-23 14:50:16.873076,0 days 00:00:03.163331,0.6,1.7923286427213632,0.11069143219393454,128,11,8.880965698768717,100,1.1036250149900698e-07,1.0659844105892708,0.9,29,F1,2.619675699970685,xgb,22914,434.85404604869433,4910,COMPLETE
7,371.1419366701696,2026-07-23 14:50:17.195411,2026-07-23 14:50:20.585283,0 days 00:00:03.389872,0.8,0.5979712296915085,0.1195960383019184,256,6,6.752761235642017,350,0.02625445968759339,0.11914739662574245,0.95,29,F1,2.8280694999848492,xgb,22914,371.1419366701696,4910,COMPLETE
8,424.8293506346474,2026-07-23 14:50:20.962154,2026-07-23 14:50:34.840279,0 days 00:00:13.878125,0.85,1.5717799053816335,0.010903028125370985,512,7,1.3815607382950852,550,0.0003776906385115029,2.762504518478214,0.6,29,F1,13.352582700026687,xgb,22914,424.8293506346474,4910,COMPLETE
9,697.8888050023296,2026-07-23 14:50:35.306970,2026-07-23 14:50:37.142182,0 days 00:00:01.835212,0.95,3.1670187825521174,0.02679156169946617,256,3,1.620890700720353,300,0.6968596391373533,0.29852320381596925,1.0,29,F1,1.2566671000095084,xgb,22914,697.8888050023296,4910,COMPLETE
